Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
F2 12xlarge Extra Large,f2.12xlarge,512 GiB,48 vCPUs,1880 GB (2×940 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F2 48xlarge,f2.48xlarge,2048 GiB,192 vCPUs,7520 GB (8×940 GB NVMe SSD),100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G2 Double Extra Large,g2.2xlarge,15 GiB,8 vCPUs,EBS only,Moderate,$0.772 hourly,unavailable,unavailable,$0.906 hourly,unavailable
G2 Eight Extra Large,g2.8xlarge,60 GiB,32 vCPUs,EBS only,High,$3.088 hourly,unavailable,unavailable,$3.366 hourly,unavailable
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,122 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$1.425 hourly,unavailable,unavailable,$2.161 hourly,unavailable
G3 Graphics GPU Eight Extra Large,g3.8xlarge,244 GiB,32 vCPUs,EBS only,10 Gigabit,$2.85 hourly,unavailable,unavailable,$4.322 hourly,unavailable
G3 Graphics GPU 16xlarge Extra Large,g3.16xlarge,488 GiB,64 vCPUs,EBS only,20 Gigabit,$5.70 hourly,unavailable,unavailable,$8.644 hourly,unavailable
G3S Extra Large,g3s.xlarge,30.5 GiB,4 vCPUs,EBS only,10 Gigabit,$0.938 hourly,unavailable,unavailable,$1.122 hourly,unavailable
G4AD Extra Large,g4ad.xlarge,16 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.4733 hourly,$0.323 hourly,$0.128 hourly,$0.6573 hourly,$0.507 hourly
G4AD Double Extra Large,g4ad.2xlarge,32 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,$0.6766 hourly,$0.4618 hourly,$0.2759 hourly,$1.0446 hourly,$0.8298 hourly
G4AD Quadruple Extra Large,g4ad.4xlarge,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 10 Gigabit,$1.084 hourly,$0.7398 hourly,$0.4198 hourly,$1.82 hourly,$1.4758 hourly
G4AD Eight Extra Large,g4ad.8xlarge,128 GiB,32 vCPUs,1200 GB NVMe SSD,15 Gigabit,$2.168 hourly,$1.4795 hourly,$0.8492 hourly,$3.64 hourly,$2.9515 hourly
G4AD 16xlarge Extra Large,g4ad.16xlarge,256 GiB,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),25 Gigabit,$4.336 hourly,$2.9591 hourly,$1.0259 hourly,$7.28 hourly,$5.9031 hourly
G4DN Extra Large,g4dn.xlarge,16 GiB,4 vCPUs,125 GB NVMe SSD,Up to 25 Gigabit,$0.658 hourly,$0.449 hourly,$0.2518 hourly,$0.842 hourly,$0.633 hourly
G4DN Double Extra Large,g4dn.2xlarge,32 GiB,8 vCPUs,225 GB NVMe SSD,Up to 25 Gigabit,$0.94 hourly,$0.642 hourly,$0.2731 hourly,$1.308 hourly,$1.01 hourly
G4DN Quadruple Extra Large,g4dn.4xlarge,64 GiB,16 vCPUs,225 GB NVMe SSD,Up to 25 Gigabit,$1.505 hourly,$1.027 hourly,$0.4709 hourly,$2.241 hourly,$1.027 hourly
G4DN Eight Extra Large,g4dn.8xlarge,128 GiB,32 vCPUs,900 GB NVMe SSD,50 Gigabit,$2.72 hourly,$1.856 hourly,$1.0305 hourly,$4.192 hourly,$1.856 hourly
G4DN 12xlarge Extra Large,g4dn.12xlarge,192 GiB,48 vCPUs,900 GB NVMe SSD,50 Gigabit,$4.89 hourly,$3.337 hourly,$1.5694 hourly,$7.098 hourly,$3.337 hourly
G4DN 16xlarge Extra Large,g4dn.16xlarge,256 GiB,64 vCPUs,900 GB NVMe SSD,50 Gigabit,$5.44 hourly,$3.713 hourly,$1.5496 hourly,$8.384 hourly,$6.657 hourly
G4DN Metal,g4dn.metal,384 GiB,96 vCPUs,1800 GB (2×900 GB NVMe SSD),100 Gigabit,$9.78 hourly,$6.675 hourly,$2.6669 hourly,$14.196 hourly,$6.675 hourly
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,16 GiB,4 vCPUs,250 GB NVMe SSD,Up to 10 Gigabit,$1.258 hourly,$0.7925 hourly,$0.5778 hourly,$1.442 hourly,$0.7925 hourly
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,32 GiB,8 vCPUs,450 GB NVMe SSD,Up to 10 Gigabit,$1.5156 hourly,$0.9548 hourly,$0.6322 hourly,$1.8836 hourly,$1.3228 hourly
G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,$2.0308 hourly,$1.2794 hourly,$0.8455 hourly,$2.7668 hourly,$1.2794 hourly
