Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C6G Double Extra Large,c6g.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.017 hourly / GiB,$0.0107 hourly / GiB,$0.0058 hourly / GiB,unavailable,unavailable
C6G Quadruple Extra Large,c6g.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.017 hourly / GiB,$0.0107 hourly / GiB,$0.0059 hourly / GiB,unavailable,unavailable
C6G Eight Extra Large,c6g.8xlarge,64 GiB,32 vCPUs,EBS only,12 Gigabit,$0.017 hourly / GiB,$0.0107 hourly / GiB,$0.0057 hourly / GiB,unavailable,unavailable
C6G 12xlarge Extra Large,c6g.12xlarge,96 GiB,48 vCPUs,EBS only,20 Gigabit,$0.017 hourly / GiB,$0.0107 hourly / GiB,$0.0056 hourly / GiB,unavailable,unavailable
C6G 16xlarge Extra Large,c6g.16xlarge,128 GiB,64 vCPUs,EBS only,25 Gigabit,$0.017 hourly / GiB,$0.0107 hourly / GiB,$0.0056 hourly / GiB,unavailable,unavailable
C6G Metal,c6g.metal,128 GiB,64 vCPUs,EBS only,25 Gigabit,$0.017 hourly / GiB,$0.0107 hourly / GiB,$0.0056 hourly / GiB,unavailable,unavailable
C6GD Medium,c6gd.medium,2 GiB,1 vCPUs,59 GB NVMe SSD,Up to 10 Gigabit,$0.0192 hourly / GiB,$0.0121 hourly / GiB,$0.0067 hourly / GiB,unavailable,unavailable
C6GD Large,c6gd.large,4 GiB,2 vCPUs,118 GB NVMe SSD,Up to 10 Gigabit,$0.0192 hourly / GiB,$0.0121 hourly / GiB,$0.007 hourly / GiB,unavailable,unavailable
C6GD Extra Large,c6gd.xlarge,8 GiB,4 vCPUs,237 GB NVMe SSD,Up to 10 Gigabit,$0.0192 hourly / GiB,$0.0121 hourly / GiB,$0.0076 hourly / GiB,unavailable,unavailable
C6GD Double Extra Large,c6gd.2xlarge,16 GiB,8 vCPUs,474 GB NVMe SSD,Up to 10 Gigabit,$0.0192 hourly / GiB,$0.0121 hourly / GiB,$0.0056 hourly / GiB,unavailable,unavailable
C6GD Quadruple Extra Large,c6gd.4xlarge,32 GiB,16 vCPUs,950 GB NVMe SSD,Up to 10 Gigabit,$0.0192 hourly / GiB,$0.0121 hourly / GiB,$0.0068 hourly / GiB,unavailable,unavailable
C6GD Eight Extra Large,c6gd.8xlarge,64 GiB,32 vCPUs,1900 GB NVMe SSD,12 Gigabit,$0.0192 hourly / GiB,$0.0121 hourly / GiB,$0.0063 hourly / GiB,unavailable,unavailable
C6GD 12xlarge Extra Large,c6gd.12xlarge,96 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),20 Gigabit,$0.0192 hourly / GiB,$0.0121 hourly / GiB,$0.0059 hourly / GiB,unavailable,unavailable
C6GD 16xlarge Extra Large,c6gd.16xlarge,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$0.0192 hourly / GiB,$0.0121 hourly / GiB,$0.0058 hourly / GiB,unavailable,unavailable
C6GD Metal,c6gd.metal,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$0.0192 hourly / GiB,$0.0121 hourly / GiB,$0.0063 hourly / GiB,unavailable,unavailable
C6GN Medium,c6gn.medium,2 GiB,1 vCPUs,EBS only,Up to 16 Gigabit,$0.0216 hourly / GiB,$0.0136 hourly / GiB,$0.0071 hourly / GiB,unavailable,unavailable
C6GN Large,c6gn.large,4 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.0216 hourly / GiB,$0.0136 hourly / GiB,$0.0079 hourly / GiB,unavailable,unavailable
C6GN Extra Large,c6gn.xlarge,8 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.0216 hourly / GiB,$0.0136 hourly / GiB,$0.0074 hourly / GiB,unavailable,unavailable
C6GN Double Extra Large,c6gn.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.0216 hourly / GiB,$0.0136 hourly / GiB,$0.0075 hourly / GiB,unavailable,unavailable
C6GN Quadruple Extra Large,c6gn.4xlarge,32 GiB,16 vCPUs,EBS only,25 Gigabit,$0.0216 hourly / GiB,$0.0136 hourly / GiB,$0.0074 hourly / GiB,unavailable,unavailable
C6GN Eight Extra Large,c6gn.8xlarge,64 GiB,32 vCPUs,EBS only,50 Gigabit,$0.0216 hourly / GiB,$0.0136 hourly / GiB,$0.0077 hourly / GiB,unavailable,unavailable
C6GN 12xlarge Extra Large,c6gn.12xlarge,96 GiB,48 vCPUs,EBS only,75 Gigabit,$0.0216 hourly / GiB,$0.0136 hourly / GiB,$0.0071 hourly / GiB,unavailable,unavailable
C6GN 16xlarge Extra Large,c6gn.16xlarge,128 GiB,64 vCPUs,EBS only,100 Gigabit,$0.0216 hourly / GiB,$0.0136 hourly / GiB,$0.007 hourly / GiB,unavailable,unavailable
