Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R5DN Double Extra Large,r5dn.2xlarge,64 GiB,8 vCPUs,300 GB NVMe SSD,Up to 25 Gigabit,$0.0835 hourly / vCPU,$0.0526 hourly / vCPU,$0.0402 hourly / vCPU,$0.1295 hourly / vCPU,$0.0986 hourly / vCPU
R5DN Quadruple Extra Large,r5dn.4xlarge,128 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 25 Gigabit,$0.0835 hourly / vCPU,$0.0526 hourly / vCPU,$0.0371 hourly / vCPU,$0.1295 hourly / vCPU,$0.0986 hourly / vCPU
R5DN Eight Extra Large,r5dn.8xlarge,256 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),25 Gigabit,$0.0835 hourly / vCPU,$0.0526 hourly / vCPU,$0.032 hourly / vCPU,$0.1295 hourly / vCPU,$0.0986 hourly / vCPU
R5DN 12xlarge Extra Large,r5dn.12xlarge,384 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),50 Gigabit,$0.0835 hourly / vCPU,$0.0526 hourly / vCPU,$0.0303 hourly / vCPU,$0.1295 hourly / vCPU,$0.0986 hourly / vCPU
R5DN 16xlarge Extra Large,r5dn.16xlarge,512 GiB,64 vCPUs,2400 GB (4×600 GB NVMe SSD),75 Gigabit,$0.0835 hourly / vCPU,$0.0526 hourly / vCPU,$0.0291 hourly / vCPU,$0.1295 hourly / vCPU,$0.0986 hourly / vCPU
R5DN 24xlarge,r5dn.24xlarge,768 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),100 Gigabit,$0.0835 hourly / vCPU,$0.0526 hourly / vCPU,$0.0293 hourly / vCPU,$0.1295 hourly / vCPU,$0.0986 hourly / vCPU
R5DN Metal,r5dn.metal,768 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),100 Gigabit,$0.0835 hourly / vCPU,$0.0526 hourly / vCPU,$0.0237 hourly / vCPU,$0.1295 hourly / vCPU,$0.0986 hourly / vCPU
R5N Large,r5n.large,16 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.0745 hourly / vCPU,$0.047 hourly / vCPU,$0.0279 hourly / vCPU,$0.1205 hourly / vCPU,$0.093 hourly / vCPU
R5N Extra Large,r5n.xlarge,32 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.0745 hourly / vCPU,$0.047 hourly / vCPU,$0.0288 hourly / vCPU,$0.1205 hourly / vCPU,$0.093 hourly / vCPU
R5N Double Extra Large,r5n.2xlarge,64 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0335 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
R5N Quadruple Extra Large,r5n.4xlarge,128 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0323 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
R5N Eight Extra Large,r5n.8xlarge,256 GiB,32 vCPUs,EBS only,25 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0265 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
R5N 12xlarge Extra Large,r5n.12xlarge,384 GiB,48 vCPUs,EBS only,50 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0278 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
R5N 16xlarge Extra Large,r5n.16xlarge,512 GiB,64 vCPUs,EBS only,75 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0263 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
