Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
D3EN Quadruple Extra Large,d3en.4xlarge,64 GiB,16 vCPUs,111840 GB (8×13980 GB NVMe HDD),25 Gigabit,$0.1906 hourly / vCPU,$0.1201 hourly / vCPU,$0.0503 hourly / vCPU,$0.2366 hourly / vCPU,$0.1661 hourly / vCPU
D3EN 6xlarge,d3en.6xlarge,96 GiB,24 vCPUs,167760 GB (12×13980 GB NVMe HDD),40 Gigabit,$0.1906 hourly / vCPU,$0.12 hourly / vCPU,$0.0467 hourly / vCPU,$0.2366 hourly / vCPU,$0.12 hourly / vCPU
D3EN Eight Extra Large,d3en.8xlarge,128 GiB,32 vCPUs,223680 GB (16×13980 GB NVMe HDD),50 Gigabit,$0.1906 hourly / vCPU,$0.1201 hourly / vCPU,$0.0672 hourly / vCPU,$0.2366 hourly / vCPU,$0.1201 hourly / vCPU
D3EN 12xlarge Extra Large,d3en.12xlarge,192 GiB,48 vCPUs,335520 GB (24×13980 GB NVMe HDD),75 Gigabit,$0.1906 hourly / vCPU,$0.1201 hourly / vCPU,$0.0593 hourly / vCPU,$0.2366 hourly / vCPU,$0.1661 hourly / vCPU
DL1 24xlarge,dl1.24xlarge,768 GiB,96 vCPUs,4000 GB (4×1000 GB NVMe SSD),4x 100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
DL2Q 24xlarge,dl2q.24xlarge,768 GiB,96 vCPUs,EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F1 Double Extra Large,f1.2xlarge,122 GiB,8 vCPUs,470 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F1 Quadruple Extra Large,f1.4xlarge,244 GiB,16 vCPUs,940 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F1 16xlarge Extra Large,f1.16xlarge,976 GiB,64 vCPUs,3760 GB (4×940 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F2 6xlarge,f2.6xlarge,256 GiB,24 vCPUs,940 GB NVMe SSD,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F2 12xlarge Extra Large,f2.12xlarge,512 GiB,48 vCPUs,1880 GB (2×940 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F2 48xlarge,f2.48xlarge,2048 GiB,192 vCPUs,7520 GB (8×940 GB NVMe SSD),100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G2 Double Extra Large,g2.2xlarge,15 GiB,8 vCPUs,EBS only,Moderate,$0.1123 hourly / vCPU,unavailable,unavailable,$0.1263 hourly / vCPU,unavailable
G2 Eight Extra Large,g2.8xlarge,60 GiB,32 vCPUs,EBS only,High,$0.1123 hourly / vCPU,unavailable,unavailable,$0.1209 hourly / vCPU,unavailable
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,122 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0988 hourly / vCPU,unavailable,unavailable,$0.1448 hourly / vCPU,unavailable
G3 Graphics GPU Eight Extra Large,g3.8xlarge,244 GiB,32 vCPUs,EBS only,10 Gigabit,$0.0988 hourly / vCPU,unavailable,unavailable,$0.1448 hourly / vCPU,unavailable
G3 Graphics GPU 16xlarge Extra Large,g3.16xlarge,488 GiB,64 vCPUs,EBS only,20 Gigabit,$0.0988 hourly / vCPU,unavailable,unavailable,$0.1448 hourly / vCPU,unavailable
G3S Extra Large,g3s.xlarge,30.5 GiB,4 vCPUs,EBS only,10 Gigabit,$0.26 hourly / vCPU,unavailable,unavailable,$0.306 hourly / vCPU,unavailable
G4AD Extra Large,g4ad.xlarge,16 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.1277 hourly / vCPU,$0.0872 hourly / vCPU,$0.0331 hourly / vCPU,$0.1737 hourly / vCPU,$0.1332 hourly / vCPU
G4AD Double Extra Large,g4ad.2xlarge,32 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,$0.0913 hourly / vCPU,$0.0623 hourly / vCPU,$0.0294 hourly / vCPU,$0.1373 hourly / vCPU,$0.1083 hourly / vCPU
G4AD Quadruple Extra Large,g4ad.4xlarge,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 10 Gigabit,$0.0731 hourly / vCPU,$0.0499 hourly / vCPU,$0.0247 hourly / vCPU,$0.1191 hourly / vCPU,$0.0959 hourly / vCPU
G4AD Eight Extra Large,g4ad.8xlarge,128 GiB,32 vCPUs,1200 GB NVMe SSD,15 Gigabit,$0.0731 hourly / vCPU,$0.0499 hourly / vCPU,$0.0228 hourly / vCPU,$0.1191 hourly / vCPU,$0.0959 hourly / vCPU
G4AD 16xlarge Extra Large,g4ad.16xlarge,256 GiB,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),25 Gigabit,$0.0731 hourly / vCPU,$0.0499 hourly / vCPU,$0.0171 hourly / vCPU,$0.1191 hourly / vCPU,$0.0959 hourly / vCPU
G4DN Extra Large,g4dn.xlarge,16 GiB,4 vCPUs,125 GB NVMe SSD,Up to 25 Gigabit,$0.1775 hourly / vCPU,$0.1213 hourly / vCPU,$0.0636 hourly / vCPU,$0.2235 hourly / vCPU,$0.1673 hourly / vCPU
G4DN Double Extra Large,g4dn.2xlarge,32 GiB,8 vCPUs,225 GB NVMe SSD,Up to 25 Gigabit,$0.1269 hourly / vCPU,$0.0866 hourly / vCPU,$0.044 hourly / vCPU,$0.1729 hourly / vCPU,$0.1326 hourly / vCPU
G4DN Quadruple Extra Large,g4dn.4xlarge,64 GiB,16 vCPUs,225 GB NVMe SSD,Up to 25 Gigabit,$0.1016 hourly / vCPU,$0.0693 hourly / vCPU,$0.025 hourly / vCPU,$0.1476 hourly / vCPU,$0.1153 hourly / vCPU
G4DN Eight Extra Large,g4dn.8xlarge,128 GiB,32 vCPUs,900 GB NVMe SSD,50 Gigabit,$0.0918 hourly / vCPU,$0.0627 hourly / vCPU,$0.0242 hourly / vCPU,$0.1378 hourly / vCPU,$0.1087 hourly / vCPU
G4DN 12xlarge Extra Large,g4dn.12xlarge,192 GiB,48 vCPUs,900 GB NVMe SSD,50 Gigabit,$0.11 hourly / vCPU,$0.0751 hourly / vCPU,$0.0384 hourly / vCPU,$0.156 hourly / vCPU,$0.1211 hourly / vCPU
G4DN 16xlarge Extra Large,g4dn.16xlarge,256 GiB,64 vCPUs,900 GB NVMe SSD,50 Gigabit,$0.0918 hourly / vCPU,$0.0627 hourly / vCPU,$0.0231 hourly / vCPU,$0.1378 hourly / vCPU,$0.1087 hourly / vCPU
G4DN Metal,g4dn.metal,384 GiB,96 vCPUs,1800 GB (2×900 GB NVMe SSD),100 Gigabit,$0.11 hourly / vCPU,$0.0751 hourly / vCPU,$0.0323 hourly / vCPU,$0.156 hourly / vCPU,$0.1211 hourly / vCPU
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,16 GiB,4 vCPUs,250 GB NVMe SSD,Up to 10 Gigabit,$0.3648 hourly / vCPU,$0.2298 hourly / vCPU,$0.1394 hourly / vCPU,$0.4108 hourly / vCPU,$0.2298 hourly / vCPU
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,32 GiB,8 vCPUs,450 GB NVMe SSD,Up to 10 Gigabit,$0.2197 hourly / vCPU,$0.1384 hourly / vCPU,$0.0812 hourly / vCPU,$0.2657 hourly / vCPU,$0.1844 hourly / vCPU
G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,$0.1472 hourly / vCPU,$0.0927 hourly / vCPU,$0.0466 hourly / vCPU,$0.1932 hourly / vCPU,$0.1387 hourly / vCPU
G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,128 GiB,32 vCPUs,900 GB NVMe SSD,25 Gigabit,$0.1109 hourly / vCPU,$0.0699 hourly / vCPU,$0.0344 hourly / vCPU,$0.1569 hourly / vCPU,$0.1159 hourly / vCPU
G5 Graphics and Machine Learning GPU 12xlarge Extra Large,g5.12xlarge,192 GiB,48 vCPUs,3800 GB NVMe SSD,40 Gigabit,$0.1714 hourly / vCPU,$0.108 hourly / vCPU,$0.0636 hourly / vCPU,$0.2174 hourly / vCPU,$0.108 hourly / vCPU
G5 Graphics and Machine Learning GPU 16xlarge Extra Large,g5.16xlarge,256 GiB,64 vCPUs,1900 GB NVMe SSD,25 Gigabit,$0.0928 hourly / vCPU,$0.0585 hourly / vCPU,$0.0479 hourly / vCPU,$0.1388 hourly / vCPU,$0.1045 hourly / vCPU
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,384 GiB,96 vCPUs,3800 GB NVMe SSD,50 Gigabit,$0.123 hourly / vCPU,$0.0775 hourly / vCPU,$0.0325 hourly / vCPU,$0.169 hourly / vCPU,$0.0775 hourly / vCPU
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,768 GiB,192 vCPUs,7600 GB (2×3800 GB NVMe SSD),100 Gigabit,$0.123 hourly / vCPU,$0.0775 hourly / vCPU,$0.0384 hourly / vCPU,$0.169 hourly / vCPU,$0.0775 hourly / vCPU
G5G Extra Large,g5g.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.1417 hourly / vCPU,$0.0967 hourly / vCPU,$0.039 hourly / vCPU,unavailable,unavailable
G5G Double Extra Large,g5g.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0938 hourly / vCPU,$0.064 hourly / vCPU,$0.0338 hourly / vCPU,unavailable,unavailable
G5G Quadruple Extra Large,g5g.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0699 hourly / vCPU,$0.0477 hourly / vCPU,$0.0166 hourly / vCPU,unavailable,unavailable
G5G Eight Extra Large,g5g.8xlarge,64 GiB,32 vCPUs,EBS only,12 Gigabit,$0.0579 hourly / vCPU,$0.0395 hourly / vCPU,$0.0139 hourly / vCPU,unavailable,unavailable
G5G 16xlarge Extra Large,g5g.16xlarge,128 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0579 hourly / vCPU,$0.0395 hourly / vCPU,$0.014 hourly / vCPU,unavailable,unavailable
G5G Metal,g5g.metal,128 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0579 hourly / vCPU,$0.0395 hourly / vCPU,$0.0145 hourly / vCPU,unavailable,unavailable
G6 Graphics and Machine Learning GPU Extra Large,g6.xlarge,16 GiB,4 vCPUs,250 GB NVMe SSD,Up to 10 Gigabit,$0.2918 hourly / vCPU,$0.19 hourly / vCPU,$0.1269 hourly / vCPU,$0.3378 hourly / vCPU,$0.236 hourly / vCPU
G6 Graphics and Machine Learning GPU Double Extra Large,g6.2xlarge,32 GiB,8 vCPUs,450 GB NVMe SSD,Up to 10 Gigabit,$0.1772 hourly / vCPU,$0.1154 hourly / vCPU,$0.0651 hourly / vCPU,$0.2232 hourly / vCPU,$0.1614 hourly / vCPU
G6 Graphics and Machine Learning GPU Quadruple Extra Large,g6.4xlarge,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,$0.1199 hourly / vCPU,$0.0781 hourly / vCPU,$0.039 hourly / vCPU,$0.1659 hourly / vCPU,$0.1241 hourly / vCPU
G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,128 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,$0.0913 hourly / vCPU,$0.0594 hourly / vCPU,$0.0315 hourly / vCPU,$0.1373 hourly / vCPU,$0.1054 hourly / vCPU
G6 Graphics and Machine Learning GPU 12xlarge Extra Large,g6.12xlarge,192 GiB,48 vCPUs,3760 GB (4×940 GB NVMe SSD),40 Gigabit,$0.139 hourly / vCPU,$0.0905 hourly / vCPU,$0.0696 hourly / vCPU,$0.185 hourly / vCPU,$0.1365 hourly / vCPU
G6 Graphics and Machine Learning GPU 16xlarge Extra Large,g6.16xlarge,256 GiB,64 vCPUs,1880 GB (2×940 GB NVMe SSD),25 Gigabit,$0.077 hourly / vCPU,$0.0501 hourly / vCPU,$0.0415 hourly / vCPU,$0.123 hourly / vCPU,$0.0961 hourly / vCPU
G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,384 GiB,96 vCPUs,3760 GB (4×940 GB NVMe SSD),50 Gigabit,$0.1008 hourly / vCPU,$0.0656 hourly / vCPU,$0.049 hourly / vCPU,$0.1468 hourly / vCPU,$0.1116 hourly / vCPU
G6 Graphics and Machine Learning GPU 48xlarge,g6.48xlarge,768 GiB,192 vCPUs,7520 GB (8×940 GB NVMe SSD),100 Gigabit,$0.1008 hourly / vCPU,$0.0656 hourly / vCPU,$0.0502 hourly / vCPU,$0.1468 hourly / vCPU,$0.1116 hourly / vCPU
G6e Graphics and Machine Learning GPU Extra Large,g6e.xlarge,32 GiB,4 vCPUs,250 GB NVMe SSD,Up to 20 Gigabit,$0.6748 hourly / vCPU,$0.4251 hourly / vCPU,$0.2414 hourly / vCPU,$0.7208 hourly / vCPU,$0.4711 hourly / vCPU
G6e Graphics and Machine Learning GPU Double Extra Large,g6e.2xlarge,64 GiB,8 vCPUs,450 GB NVMe SSD,Up to 20 Gigabit,$0.4065 hourly / vCPU,$0.2561 hourly / vCPU,$0.1628 hourly / vCPU,$0.4525 hourly / vCPU,$0.3021 hourly / vCPU
G6e Graphics and Machine Learning GPU Quadruple Extra Large,g6e.4xlarge,128 GiB,16 vCPUs,600 GB NVMe SSD,20 Gigabit,$0.2723 hourly / vCPU,$0.1716 hourly / vCPU,$0.0822 hourly / vCPU,$0.3183 hourly / vCPU,$0.2176 hourly / vCPU
G6e Graphics and Machine Learning GPU Eight Extra Large,g6e.8xlarge,256 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,$0.2052 hourly / vCPU,$0.1293 hourly / vCPU,$0.0501 hourly / vCPU,$0.2512 hourly / vCPU,$0.1753 hourly / vCPU
G6e Graphics and Machine Learning GPU 12xlarge Extra Large,g6e.12xlarge,384 GiB,48 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$0.317 hourly / vCPU,$0.1997 hourly / vCPU,$0.1625 hourly / vCPU,$0.363 hourly / vCPU,$0.2457 hourly / vCPU
G6e Graphics and Machine Learning GPU 16xlarge Extra Large,g6e.16xlarge,512 GiB,64 vCPUs,1900 GB (2×950 GB NVMe SSD),35 Gigabit,$0.1717 hourly / vCPU,$0.1082 hourly / vCPU,$0.0865 hourly / vCPU,$0.2177 hourly / vCPU,$0.1542 hourly / vCPU
G6e Graphics and Machine Learning GPU 24xlarge,g6e.24xlarge,768 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),200 Gigabit,$0.2276 hourly / vCPU,$0.1434 hourly / vCPU,$0.1071 hourly / vCPU,$0.2736 hourly / vCPU,$0.1894 hourly / vCPU
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,1536 GiB,192 vCPUs,7600 GB (4×1900 GB NVMe SSD),400 Gigabit,$0.2276 hourly / vCPU,$0.1434 hourly / vCPU,$0.1041 hourly / vCPU,$0.2736 hourly / vCPU,$0.1894 hourly / vCPU
G6F Large,g6f.large,8 GiB,2 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.1465 hourly / vCPU,unavailable,$0.0384 hourly / vCPU,$0.1925 hourly / vCPU,unavailable
