Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C5 High-CPU Metal,c5d.metal,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5N Large,c5n.large,5.25 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.064 hourly / vCPU,$0.0405 hourly / vCPU,$0.0176 hourly / vCPU,$0.11 hourly / vCPU,$0.0865 hourly / vCPU
C5N Extra Large,c5n.xlarge,10.5 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.064 hourly / vCPU,$0.0403 hourly / vCPU,$0.0231 hourly / vCPU,$0.11 hourly / vCPU,$0.0863 hourly / vCPU
C5N Double Extra Large,c5n.2xlarge,21 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.064 hourly / vCPU,$0.0404 hourly / vCPU,$0.0253 hourly / vCPU,$0.11 hourly / vCPU,$0.0404 hourly / vCPU
C5N Quadruple Extra Large,c5n.4xlarge,42 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,$0.064 hourly / vCPU,$0.0403 hourly / vCPU,$0.0273 hourly / vCPU,$0.11 hourly / vCPU,$0.0403 hourly / vCPU
C5N 9xlarge,c5n.9xlarge,96 GiB,36 vCPUs,EBS only,50 Gigabit,$0.064 hourly / vCPU,$0.0403 hourly / vCPU,$0.0263 hourly / vCPU,$0.11 hourly / vCPU,$0.0403 hourly / vCPU
C5N 18xlarge,c5n.18xlarge,192 GiB,72 vCPUs,EBS only,100 Gigabit,$0.064 hourly / vCPU,$0.0403 hourly / vCPU,$0.015 hourly / vCPU,$0.11 hourly / vCPU,$0.0863 hourly / vCPU
C5N Metal,c5n.metal,192 GiB,72 vCPUs,EBS only,100 Gigabit,$0.064 hourly / vCPU,$0.0403 hourly / vCPU,$0.0111 hourly / vCPU,$0.11 hourly / vCPU,$0.0863 hourly / vCPU
C6A Large,c6a.large,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A Extra Large,c6a.xlarge,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A Double Extra Large,c6a.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A Quadruple Extra Large,c6a.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A Eight Extra Large,c6a.8xlarge,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A 12xlarge Extra Large,c6a.12xlarge,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A 16xlarge Extra Large,c6a.16xlarge,128 GiB,64 vCPUs,EBS only,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A 24xlarge,c6a.24xlarge,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A 32xlarge,c6a.32xlarge,256 GiB,128 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A 48xlarge,c6a.48xlarge,384 GiB,192 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A Metal,c6a.metal,384 GiB,192 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6G Medium,c6g.medium,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0405 hourly / vCPU,$0.0252 hourly / vCPU,$0.013 hourly / vCPU,unavailable,unavailable
C6G Large,c6g.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0405 hourly / vCPU,$0.0252 hourly / vCPU,$0.0067 hourly / vCPU,unavailable,unavailable
C6G Extra Large,c6g.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.0405 hourly / vCPU,$0.0252 hourly / vCPU,$0.0119 hourly / vCPU,unavailable,unavailable
C6G Double Extra Large,c6g.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0405 hourly / vCPU,$0.0252 hourly / vCPU,$0.0104 hourly / vCPU,unavailable,unavailable
C6G Quadruple Extra Large,c6g.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0405 hourly / vCPU,$0.0252 hourly / vCPU,$0.0102 hourly / vCPU,unavailable,unavailable
C6G Eight Extra Large,c6g.8xlarge,64 GiB,32 vCPUs,EBS only,12 Gigabit,$0.0405 hourly / vCPU,$0.0252 hourly / vCPU,$0.0082 hourly / vCPU,unavailable,unavailable
C6G 12xlarge Extra Large,c6g.12xlarge,96 GiB,48 vCPUs,EBS only,20 Gigabit,$0.0405 hourly / vCPU,$0.0252 hourly / vCPU,$0.0105 hourly / vCPU,unavailable,unavailable
C6G 16xlarge Extra Large,c6g.16xlarge,128 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0405 hourly / vCPU,$0.0252 hourly / vCPU,$0.0088 hourly / vCPU,unavailable,unavailable
C6G Metal,c6g.metal,128 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0405 hourly / vCPU,$0.0252 hourly / vCPU,$0.0074 hourly / vCPU,unavailable,unavailable
C6GD Medium,c6gd.medium,2 GiB,1 vCPUs,59 GB NVMe SSD,Up to 10 Gigabit,$0.046 hourly / vCPU,$0.029 hourly / vCPU,$0.0082 hourly / vCPU,unavailable,unavailable
C6GD Large,c6gd.large,4 GiB,2 vCPUs,118 GB NVMe SSD,Up to 10 Gigabit,$0.046 hourly / vCPU,$0.029 hourly / vCPU,$0.0078 hourly / vCPU,unavailable,unavailable
C6GD Extra Large,c6gd.xlarge,8 GiB,4 vCPUs,237 GB NVMe SSD,Up to 10 Gigabit,$0.046 hourly / vCPU,$0.029 hourly / vCPU,$0.0117 hourly / vCPU,unavailable,unavailable
C6GD Double Extra Large,c6gd.2xlarge,16 GiB,8 vCPUs,474 GB NVMe SSD,Up to 10 Gigabit,$0.046 hourly / vCPU,$0.029 hourly / vCPU,$0.009 hourly / vCPU,unavailable,unavailable
